method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairAA_3Moment,0.03,1,0.46633687258687256,0.54,0.15441176470588236,0.00624034997426659,0.08974358974358976,0.08974358974358976,0.22680774848994845,0.004995259669711705,0.48964285714285716,0.52625,0.0057373419634842784
FairAA_3Moment,0.1,1,0.4661759974259974,0.538,0.15384615384615385,0.0025090066906845454,0.08974358974358976,0.08974358974358976,0.22674078764155814,0.004456531441804579,0.47803571428571434,0.5287499999999999,0.004649273282924727
FairAA_3Moment,0.3,1,0.46629665379665375,0.538,0.15384615384615385,0.0025090066906845454,0.08974358974358976,0.08974358974358976,0.22655579430666994,0.0036801005999508862,0.4748214285714286,0.525,0.0031060954971644412
FairAA_3Moment,1.0,1,0.46669884169884174,0.54,0.15441176470588236,0.0018013381369016979,0.08974358974358976,0.08974358974358976,0.22631500153863182,0.002939632072361087,0.4746428571428572,0.5203571428571429,0.0015205166523898327
FairAA_3Moment,3.0,1,0.49444980694980695,0.59,0.15637860082304528,0.025990735975295942,0.08461538461538465,0.08461538461538465,0.22592317361970948,0.0026201710184523552,0.4730357142857143,0.5301785714285714,0.0006355208188540233
FairAA_3Moment,10.0,1,0.4762910231660232,0.474,0.17034700315457413,0.0008363355635614411,0.038461538461538436,0.038461538461538436,0.0796465940654727,0.003622294996368902,0.48892857142857143,0.485,0.010146292335412385
FairAA_3Moment,30.0,1,0.4762910231660232,0.474,0.17034700315457413,0.0008363355635614411,0.038461538461538436,0.038461538461538436,0.0796465940654727,0.003622294996368902,0.48892857142857143,0.485,0.010146292335412385
FairAA_3Moment,100.0,1,0.4762910231660232,0.474,0.17034700315457413,0.0008363355635614411,0.038461538461538436,0.038461538461538436,0.0796465940654727,0.003622294996368902,0.48892857142857143,0.485,0.010146292335412385
FairAA_Adv,0.0,1,0.4664977477477477,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.226829928061272,0.005306333656571571,0.49071428571428566,0.5278571428571428,0.006366158143165515
FairAA_Adv,0.03,1,0.46645752895752896,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.22682997091920598,0.00529843247407441,0.49071428571428566,0.5342857142857144,0.00633064255695718
FairAA_Adv,0.1,1,0.4667390604890605,0.542,0.15498154981549817,0.00997169325784869,0.08974358974358976,0.08974358974358976,0.22682980476218984,0.005282923392012584,0.49071428571428566,0.53125,0.006261131521419231
FairAA_Adv,0.3,1,0.46694015444015446,0.538,0.15384615384615385,0.0025090066906845454,0.08974358974358976,0.08974358974358976,0.22682842121670288,0.005247703778011759,0.49196428571428574,0.5278571428571428,0.006096894589545861
FairAA_Adv,1.0,1,0.4669401544401544,0.534,0.15272727272727274,0.011129696345856976,0.08974358974358976,0.08974358974358976,0.22682095544860292,0.005164462813407988,0.4853571428571429,0.5169642857142858,0.005641548905741978
FairAA_Adv,3.0,1,0.48182110682110685,0.53,0.15770609318996415,0.004246011322696863,0.05641025641025643,0.05641025641025643,0.22679131454852486,0.005065512301693498,0.47910714285714284,0.5419642857142858,0.004686967185549718
